910	797	627	793	932	12	165	553	529	41	
747	85	503	360	825	220	789	81	705	414	
395	355	598	551	674	960	935	304	310	68	
27	405	322	527	285	640	150	714	877	820	
166	814	160	702	906	632	446	726	342	376	
246	940	13	169	192	804	695	155	510	28	
436	132	592	93	291	197	83	132	316	320	
573	421	511	480	423	365	23	25	975	862	
334	46	665	904	533	409	938	410	656	564	
89	15	341	591	475	429	199	883	841	882	
299	683	151	431	966	242	243	750	225	15	
720	744	690	37	431	799	920	927	865	762	
259	481	299	543	445	633	95	162	913	204	
387	780	487	733	32	695	960	505	32	845	
996	998	829	873	518	10	66	389	873	535	
833	434	706	292	113	990	857	511	392	936	
68	254	557	183	74	597	275	360	162	113	
539	503	965	627	545	708	806	880	128	774	
285	198	573	222	426	233	661	826	972	812	
820	930	206	731	171	775	10	796	709	7	
742	662	86	790	928	937	881	830	614	821	
628	231	598	711	258	937	103	478	461	782	
91	492	269	237	961	800	386	785	419	272	
738	208	121	819	287	23	631	924	768	43	
674	611	650	74	747	342	107	416	933	381	
315	845	521	211	896	908	171	856	244	303	
792	155	325	678	519	717	65	246	961	321	
795	118	502	335	302	484	413	16	101	102	
712	939	261	389	658	838	640	148	974	793	
847	718	661	876	659	565	467	168	744	391	
527	59	886	539	197	485	253	410	154	976	
452	848	500	460	614	761	483	256	586	64	
943	805	422	899	743	908	416	162	131	248	
208	239	15	990	228	775	349	1	449	486	
678	10	532	401	596	220	283	125	919	229	
666	269	634	881	957	896	337	265	687	273	
514	536	13	0	877	54	722	366	865	886	
408	925	36	322	728	54	726	798	958	949	
963	738	852	798	387	481	89	51	832	630	
693	245	491	654	572	463	539	536	324	19	
316	593	685	236	624	429	293	274	252	456	
684	148	786	610	507	768	846	248	308	798	
999	879	101	67	308	284	511	705	208	823	
94	339	971	630	932	445	391	718	174	202	
364	724	10	880	680	977	3	703	727	267	
964	991	986	193	541	310	375	791	180	8	
173	959	11	561	114	513	937	510	316	905	
136	426	48	150	811	396	610	915	370	301	
785	55	579	384	214	959	423	603	297	491	
678	353	240	109	87	105	222	365	264	634	
339	210	215	29	629	204	291	380	27	781	
386	473	314	333	79	415	262	973	551	5	
902	699	257	225	677	940	80	657	425	512	
526	364	801	318	758	567	687	624	414	756	
168	674	120	269	724	660	331	902	311	911	
394	337	443	844	321	466	503	680	72	890	
775	644	478	362	145	352	266	205	298	695	
864	32	444	430	263	974	197	663	779	395	
220	82	140	690	450	2	963	922	658	613	
955	547	742	53	931	126	488	397	999	243	
66	557	678	116	19	262	796	151	991	353	
748	89	681	409	473	373	407	849	689	827	
690	560	855	798	321	905	139	806	985	679	
680	156	955	846	459	852	298	165	267	436	
599	535	112	739	675	568	20	389	304	981	
41	467	437	724	838	439	268	515	401	373	
417	652	898	509	321	614	562	900	668	735	
343	50	729	341	957	39	925	820	930	815	
608	1	454	749	812	173	996	547	650	22	
442	527	387	271	25	249	504	576	329	576	
86	288	517	701	17	622	62	560	548	712	
174	894	402	34	844	692	301	224	463	717	
521	127	656	447	923	693	185	116	155	457	
355	221	395	797	657	448	275	304	487	938	
163	592	166	439	708	652	255	134	315	216	
905	194	203	753	185	443	342	409	501	788	
888	549	797	157	896	833	190	128	227	405	
468	624	30	48	212	598	568	523	635	934	
731	545	310	694	461	946	855	558	327	743	
393	426	305	607	137	13	647	920	193	568	
853	914	225	400	2	805	636	278	12	770	
453	567	408	679	732	580	171	524	136	148	
811	251	746	677	891	781	44	225	23	894	
813	477	556	442	675	341	19	194	923	531	
962	871	551	759	238	783	189	456	930	380	
183	825	125	74	180	766	154	577	507	70	
993	728	488	66	366	915	348	787	843	323	
45	58	727	740	551	905	122	436	829	391	
868	294	137	537	601	134	787	292	922	992	
481	118	612	361	12	644	13	207	330	230	
160	692	405	263	495	822	784	129	824	738	
377	685	293	222	400	552	148	54	82	817	
23	197	634	166	337	294	885	759	215	59	
696	610	502	986	153	21	182	72	126	187	
50	437	173	733	299	511	985	170	513	611	
662	561	989	630	954	107	798	481	624	901	
790	235	858	899	648	368	386	465	216	720	
957	3	878	922	277	380	249	351	137	747	
285	403	131	497	496	693	398	399	750	400	
289	597	375	419	581	725	746	419	623	774	
